Date,Expiry,Future_Close,Strike Price,Time_to_Expiry,LTP,IV,Delta,Gamma,Vega,Theta
2017-04-25,2017-05-25,9319.0,9000,30,340.95,11.396408081054688,0.860461197692781,0.0007293802869542376,5.933200534045581,-1.126952908545251
2017-05-04,2017-06-29,9377.0,9000,56,415.0,11.20758056640625,0.8306420761940208,0.0006132462993574327,9.271922656034521,-0.9278198229731636
2017-05-05,2017-06-29,9318.0,9000,55,366.0,11.199951171875,0.7940104858526256,0.0007033611043623957,10.306464574985466,-1.0493809090408786
2017-05-08,2017-06-29,9343.0,9000,52,379.0,10.7574462890625,0.8267685208485043,0.0006751286454214745,9.031895384352216,-0.9342320142846198
2017-05-09,2017-06-29,9349.85,9000,51,385.0,10.90240478515625,0.8305019426684179,0.0006628621470792536,8.827386056513,-0.9435268233622437
2017-05-10,2017-06-29,9416.35,9000,50,440.2,10.8184814453125,0.8748120887705461,0.0005465456950413743,7.181829780033787,-0.7769649221868828
2017-05-11,2017-06-29,9438.55,9000,49,455.2,10.2081298828125,0.9016061643541686,0.0004912783047351283,5.99773882283967,-0.6247520092523909
2017-05-12,2017-06-29,9421.0,9000,48,440.0,10.406494140625,0.8907061473334708,0.0005264489524250104,6.394448446938271,-0.6931644822457472
2017-05-15,2017-06-29,9457.0,9000,45,465.75,9.36126708984375,0.9361603330455888,0.00040222863069185505,4.1517772453826005,-0.43184328546180295
2017-05-16,2017-06-29,9519.95,9000,44,530.0,10.7574462890625,0.9360491911389871,0.00035211503982191233,4.138308934457581,-0.5058822282951692
2017-05-17,2017-06-29,9533.3,9000,43,545.95,11.697769165039062,0.9270046604565054,0.0003622451291543576,4.536988855962336,-0.6171238179232797
2017-05-18,2017-06-29,9439.1,9000,42,461.45,11.997222900390625,0.8831463290687253,0.0005110602715599596,6.285943156915689,-0.8977840618178887
2017-05-19,2017-06-29,9460.0,9000,41,470.3,10.223388671875,0.9294814705171969,0.00041658698584085306,4.281282006794168,-0.5337708532848994
2017-05-22,2017-06-29,9447.4,9000,38,463.75,11.699676513671875,0.9038889714278839,0.0004779899390063571,5.196464310842274,-0.7999598875223087
2017-05-23,2017-06-29,9395.0,9000,37,420.5,12.4053955078125,0.8659066236896454,0.0005824064298393587,6.464563480036707,-1.0837225237191368
2017-05-24,2017-06-29,9382.0,9000,36,401.55,11.325836181640625,0.8822765462771514,0.0005913876368053258,5.814910174317703,-0.9147044450733006
2017-05-25,2017-06-29,9492.15,9000,35,500.0,10.955810546875,0.9436620381408418,0.0003520542116024682,3.332409951618528,-0.5215607442064785
2017-05-26,2017-06-29,9569.05,9000,34,575.35,11.882781982421875,0.9562407179871707,0.0002670441536039156,2.7066051494005596,-0.4729705721004006
2017-05-29,2017-06-29,9609.1,9000,31,615.95,13.332366943359375,0.9558880268238714,0.0002498333497002831,2.6121127827744353,-0.561703969635296
2017-05-30,2017-06-29,9615.05,9000,30,621.8,13.61083984375,0.9566984848725639,0.00024492105907022305,2.5330428508838305,-0.5746140093455956
2017-06-02,2017-07-27,9666.75,9000,55,680.25,12.3748779296875,0.9347050595757004,0.000274011280288935,4.774634861592256,-0.5371411233730412
2017-06-06,2017-07-27,9686.15,9000,51,686.5,7.568359375,0.9954889835142257,4.8140287654434794e-05,0.477628374479462,-0.03543983515448673
2017-06-08,2017-07-27,9689.0,9000,49,692.55,10.38360595703125,0.9748817118122112,0.00015917966661068678,2.083036678103113,-0.22070849040271506
2017-06-12,2017-07-27,9639.2,9000,45,647.0,11.77978515625,0.9534777302726698,0.0002441869376758824,3.295045608170237,-0.43127699271433895
2017-06-13,2017-07-27,9630.0,9000,44,642.05,12.929916381835938,0.9369378883648767,0.0002864683236784601,4.140804334735502,-0.6084119750190208
2017-06-14,2017-07-27,9658.0,9000,43,666.0,12.39013671875,0.9535694972501114,0.00023665802289062456,3.222161645899752,-0.4642212014257029
2017-06-15,2017-07-27,9616.3,9000,42,626.0,12.420654296875,0.9444323574906346,0.0002767955338571657,3.6582719388953033,-0.540930131868776
2017-06-16,2017-07-27,9611.6,9000,41,614.0,9.70458984375,0.9792070480519144,0.00016006670317549282,1.6119833615834602,-0.1907760653550833
2017-06-23,2017-07-27,9610.0,9000,34,615.0,12.02392578125,0.9644916196210288,0.0002217103375215204,2.29332210883452,-0.40551080631067654
2017-06-27,2017-07-27,9532.95,9000,30,541.2,12.725830078125,0.9446545508182198,0.0003214314170306842,3.0553253505913722,-0.6480258540835583
2017-06-30,2017-08-31,9549.5,9000,62,580.0,12.603759765625,0.878366730635857,0.00040711766538930645,7.94840806360582,-0.8079018205874543
2017-07-03,2017-08-31,9656.5,9000,59,656.9,6.8359375,0.9949950771198709,5.453104702349787e-05,0.5618760965714941,-0.03255042270259913
2017-07-04,2017-08-31,9648.1,9000,58,670.0,13.2904052734375,0.9097165524904127,0.00031844019693330193,6.260151299455366,-0.7172409296792948
2017-07-05,2017-08-31,9681.0,9000,57,684.0,9.27734375,0.9776720210668883,0.00014973645895539117,2.0331697456385607,-0.16545977747709642
2017-07-06,2017-08-31,9702.0,9000,56,705.0,9.58251953125,0.9782983199053532,0.0001424763489342346,1.971697082016445,-0.16869487319760015
2017-07-07,2017-08-31,9699.1,9000,55,704.1,10.498046875,0.9682804066957414,0.00018027645493413465,2.68275007675787,-0.25603305508830876
2017-07-10,2017-08-31,9804.0,9000,52,810.0,12.451171875,0.9674218970283698,0.0001580955605522238,2.6955474877281005,-0.32271851025891374
